
网络监测,华三（H3C）
网络监测,协软
网络监测,基调网络
网络监测,康邦
网络监测,科来
网络管理,APEX
网络管理,Broadview
网络管理,DCN
网络管理,LanEasy（中科朗易）
网络管理,ZOHO（卓豪）
网络管理,亿阳
网络管理,勤智数码
网络管理,北信源
网络管理,北塔软件
网络管理,华三（H3C）
网络管理,华胜天成摩卡
网络管理,协软
网络管理,启明星辰
网络管理,天融信
网络管理,康邦
网络管理,日立JP1
网络管理,易通
网络管理,立体（金商祺）
网络管理,网御
网络管理,网神
网络管理,网首（金商祺）
网络通信,华软新元
网络通信,微软（Microsoft）
网络通信,讯联ocs
网络通信,金商祺
网站服务,网宿科技CDN服务
网站服务,网神
网站管理,东方易超
网站管理,信息门户
网站管理,华软新元
网站管理,微软（Microsoft）
电子邮件系统,DevaMail（敏讯）
电子邮件系统,FangMail
电子邮件系统,中标麒麟
电子邮件系统,优兆
电子邮件系统,安宁
电子邮件系统,微软（Microsoft）
电子邮件系统,拓波邮件TurboMail
电子邮件系统,推动时代
电子邮件系统,时代亿信
电子邮件系统,清源
电子邮件系统,网际思安
数据分析,久其
数据分析,久其政务
数据分析,京东商城
数据分析,马克威
工作流,中创软件
工作流,京东商城
工作流,华软新元
工作流,协同软件
工作流,普元
政务服务总线,时光软件
政务服务总线,普元
内容管理,INTPLE（引跑科技）
内容管理,久其
内容管理,华软新元
内容管理,时光软件
内容管理,火星舱
地理信息服务,华软新元
地理信息服务,易智瑞（ArcGIS）
地理信息服务,科盾
地理信息服务,超图
应用支撑平台,Business Logic
应用支撑平台,久其
应用支撑平台,华软新元
应用支撑平台,吉大正元
应用支撑平台,方位
开发工具,AppCan
开发工具,华软新元
开发工具,微软（Microsoft）
开发工具,普元
计算机辅助设计,INTPLE（引跑科技）
计算机辅助设计,京东商城
文档管理,INTPLE（引跑科技）
文档管理,三友和
文档管理,中标文通
文档管理,华安保
文档管理,双洲电子文档集中管理系统
文档管理,数普
文档管理,爱数
文档管理,科盾
文档管理,英富森
文档管理,资源服务平台（金商祺）
文档管理,赞华
文档管理,鼎普
档案管理,三友和
档案管理,中信信息
档案管理,中标文通
档案管理,星震
文字语言处理,INTPLE（引跑科技）
文字语言处理,英富森
其他管理软件,IBM
其他管理软件,INTPLE（引跑科技）
其他管理软件,SAP NetWeaver
其他管理软件,三友和
其他管理软件,久其
其他管理软件,久其政务
其他管理软件,优兆科技
其他管理软件,创亿
其他管理软件,华软新元
其他管理软件,华青信息门户系统软件V1.0
其他管理软件,华青综合监控平台软件V1.0
其他管理软件,华青通用报表管理系统软件V2011
其他管理软件,圣博润
其他管理软件,微软（Microsoft）
其他管理软件,科星
其他管理软件,联华中安
其他管理软件,金福音
